"","nis_code","ID","sex","age_category","increased_compensation","practice_id","ncases","npatients"
"63",11001,1,"M","(5,16]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,45
"64",11001,1,"M","(5,16]","No","16861f2e-8650-11e6-93e4-0050568a1344",0,1
"65",11001,1,"M","(5,16]","No","3293316e-d36c-45e6-88cc-b33187d6b9ed",0,1
"66",11001,1,"M","(5,16]","No","3a3a682a-0f56-4ef6-9761-0c149ef46333",0,1
"67",11001,1,"M","(5,16]","No","64d17fa0-0d35-478d-bcb3-9b4d48f6b8fd",0,1
"68",11001,1,"M","(5,16]","Yes","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,3
"69",11001,1,"M","(5,16]","Yes","15b39ce4-97e2-4f75-986d-d0120c628875",0,1
"70",11001,1,"M","(5,16]","Yes","16886497-8650-11e6-93e4-0050568a1344",0,1
"71",11001,1,"M","(50,65]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",1,123
"72",11001,1,"M","(50,65]","No","15b39ce4-97e2-4f75-986d-d0120c628875",0,4
"73",11001,1,"M","(50,65]","No","16853ce2-8650-11e6-93e4-0050568a1344",0,1
"74",11001,1,"M","(50,65]","No","3293316e-d36c-45e6-88cc-b33187d6b9ed",0,5
"75",11001,1,"M","(50,65]","No","4dec7ba5-4230-491e-a235-4d4227946a9a",0,1
"76",11001,1,"M","(50,65]","No","5597fa3c-0af7-4956-ba31-4b4bf77db9e4",0,1
"77",11001,1,"M","(50,65]","No","6656fc5b-e8fb-474b-a93a-003d06326051",0,1
"78",11001,1,"M","(50,65]","Yes","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,9
"79",11001,1,"M","(50,65]","Yes","15b39ce4-97e2-4f75-986d-d0120c628875",0,1
"80",11001,1,"M","(65,85]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",1,153
"81",11001,1,"M","(65,85]","No","15b39ce4-97e2-4f75-986d-d0120c628875",0,2
"82",11001,1,"M","(65,85]","No","1688ebe0-8650-11e6-93e4-0050568a1344",0,2
"83",11001,1,"M","(65,85]","No","3293316e-d36c-45e6-88cc-b33187d6b9ed",1,4
"84",11001,1,"M","(65,85]","No","3a3a682a-0f56-4ef6-9761-0c149ef46333",0,1
"85",11001,1,"M","(65,85]","Yes","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,1
"86",11001,1,"M","(65,85]","Yes","1688ebe0-8650-11e6-93e4-0050568a1344",0,1
"87",11001,1,"M","(85,110]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,12
"88",11002,2,"F","(-1,5]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,1
